date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:46:22	10220/10220	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:21%20GMT	https://b.btcminners.com/?a=cust&page=investment	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index9d6a.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:22	29541/29541	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:21%20GMT	https://b.btcminners.com/?a=faq	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index38cd.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:23	34598/34598	---M-Z	200	added ('OK')	text/css	date:Thu,%2006%20Jan%202022%2012:09:58%20GMT	https://b.btcminners.com/styles/assets/custom.css	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/custom.css	(from https://b.btcminners.com/?a=rules)
00:46:24	7095/7095	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:20%20GMT	https://b.btcminners.com/?a=about	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/indexe47e.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:24	6603/6603	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:21%20GMT	https://b.btcminners.com/?a=affiliate	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index058e.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:24	5697/5697	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:24%20GMT	https://b.btcminners.com/?a=support	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index15a0.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:24	7490/7490	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:25%20GMT	https://b.btcminners.com/?a=paidout	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/indexda66.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:25	125785/125785	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202016%2012:13:36%20GMT	https://b.btcminners.com/styles/assets/hover.css	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/styles/assets/hover.css	(from https://b.btcminners.com/?a=rules)
00:46:27	8671/8671	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jul%202022%2021:46:27%20GMT	https://b.btcminners.com/?a=refs10	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/b.btcminners.com/index7aed.html	(from https://b.btcminners.com/?a=forgot_password)
00:46:28	28931/28931	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://maxcdn.bootstrapcdn.com/font-awesome/4.6.2/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/BTC%20F%c4%b0NANCE/maxcdn.bootstrapcdn.com/font-awesome/4.6.2/css/font-awesome.min.css	(from https://b.btcminners.com/?a=rules)
